Utc,Bsp,Awa,Aws,Twa,Tws,Twd,Rudder2,Leeway,iSet,iDrift,Hdg,AirTmp,SeaTmp,Baro,Depth,Heel,Trim,Rudder,Tab,Forestay,Downhaul,MastAng,FrstyLen,MastButt,StbJmpr,PrtJmpr,Rake,Volts,ROT,GpsQual,PDOP,GpsNum,GpsAge,GpsGeoHt,GpsAntHt,GpsPosFx,Lat,Lon,Cog,Sog
38516.38984,4.892,-16.8,11.26,-28.2,6.95,149.4,,-1.83,292.5,0.083,175.3,,,,17.92,-5.8,,,,,,,,,,,,,,,,,,,,,39.398235,-0.298558,178.4,4.7
38516.38986,4.975,-16.2,11.58,-27.6,6.85,149.4,,-1.74,292.5,0.083,174.9,,,,18.04,-3.4,,,,,,,,,,,,,,,,,,,,,39.398212,-0.298558,178.6,4.8
38516.38987,4.948,-16,11.26,-27.6,6.64,149.1,,-2.05,292.5,0.083,174.5,,,,18.04,-4.7,,,,,,,,,,,,,,,,,,,,,39.398193,-0.298556,178.6,4.8
38516.38988,5.011,-16,11.3,-27.7,6.66,148.3,,-1.43,292.5,0.083,173.6,,,,19.05,-5,,,,,,,,,,,,,,,,,,,,,39.398167,-0.298553,179.2,4.8
38516.38989,5.041,-15.3,11.2,-27.1,6.41,148.6,,-1.82,292.5,0.083,173.4,,,,19.08,-3.9,,,,,,,,,,,,,,,,,,,,,39.398148,-0.29855,178.6,4.9
38516.3899,4.975,-15.2,11.37,-26.7,6.79,149.1,,-1.64,289.2,0.097,173.4,,,,19.32,-4,,,,,,,,,,,,,,,,,,,,,39.398121,-0.298547,178,4.9
38516.38992,4.937,-15.2,11.41,-26.2,6.76,149.1,,-1.59,289.2,0.097,173.6,,,,19.32,-4.1,,,,,,,,,,,,,,,,,,,,,39.398102,-0.298542,177.7,4.9
38516.38993,4.913,-15.5,11.5,-26.7,7.08,148.7,,-2.21,290.7,0.09,173.6,,,,19.45,-4.6,,,,,,,,,,,,,,,,,,,,,39.398075,-0.298539,176.9,4.9
38516.38994,4.97,-16.5,11.86,-27.4,7.23,147.8,,-1.73,290.7,0.09,173.8,,,,19.41,-4.6,,,,,,,,,,,,,,,,,,,,,39.398052,-0.298536,176.9,4.9
38516.38995,5.02,-16.8,11.89,-28.6,7.37,147.1,,-2.37,292.5,0.083,174,,,,19.35,-5.5,,,,,,,,,,,,,,,,,,,,,39.398029,-0.298531,175.4,4.9
38516.38996,5.067,-17.7,12.01,-29.3,7.28,146.3,,-2.4,292.5,0.083,174.4,,,,19.32,-5.2,,,,,,,,,,,,,,,,,,,,,39.398006,-0.298531,174.7,4.9
38516.38998,5.048,-18.1,12.03,-30.2,7.38,146.5,,-2.45,279.4,0.07,175.1,,,,19.32,-6,,,,,,,,,,,,,,,,,,,,,39.39798,-0.298525,174.2,4.9
38516.38999,5.055,-18.4,12.12,-30.4,7.44,146.2,,-2.08,279.4,0.07,175.2,,,,19.29,-6.2,,,,,,,,,,,,,,,,,,,,,39.397957,-0.298528,174.9,4.9
38516.39,5.055,-18.1,11.78,-30.7,7.14,146.3,,-2.33,281.7,0.055,175.1,,,,19.41,-5.7,,,,,,,,,,,,,,,,,,,,,39.397934,-0.298522,175.7,4.9
38516.39001,5.019,-18.1,11.95,-30.2,7.57,146.9,,-2.17,281.7,0.055,175,,,,19.41,-6.2,,,,,,,,,,,,,,,,,,,,,39.397911,-0.298519,176.5,4.9
38516.39002,5.081,-17.6,11.94,-30,7.22,147.4,,-1.85,291.5,0.058,175.3,,,,19.02,-4.4,,,,,,,,,,,,,,,,,,,,,39.397888,-0.298517,176.7,4.9
38516.39003,5.043,-17.4,11.83,-29.5,7.38,148.3,,-2.18,291.5,0.058,176,,,,18.99,-4.7,,,,,,,,,,,,,,,,,,,,,39.397865,-0.298514,176.1,5
38516.39005,5.098,-17.6,12.04,-29.6,7.3,148,,-2.03,300.3,0.062,175.9,,,,18.99,-5.6,,,,,,,,,,,,,,,,,,,,,39.397842,-0.298514,177.5,5
38516.39006,5.103,-17.8,12.02,-30.1,7.32,147.9,,-2.06,300.3,0.062,176.2,,,,19.14,-5.5,,,,,,,,,,,,,,,,,,,,,39.397816,-0.298514,178.2,5
38516.39007,5.124,-18.1,12.08,-30.9,7.33,147.4,,-2.01,315.4,0.043,176.7,,,,19.2,-5.7,,,,,,,,,,,,,,,,,,,,,39.397793,-0.298511,178.5,5
